PMA,Device Name (from CT),AE_Terms,Affected / at Risk (%),# Events,# MDRs
P100047,HeartWare® VAS,Major Bleeding,156/308 (50.65%),297,230
P100047,HeartWare® VAS,Hemolysis,3/308 (0.97%),4,206
P100047,HeartWare® VAS,Cardiac Arrhythmia,95/308 (30.84%),132,470
P100047,HeartWare® VAS,Hypertension,27/308 (8.77%),34,62
P100047,HeartWare® VAS,Myocardial Infarction,0/308 (0.00%),0,207
P100047,HeartWare® VAS,Pericardial Fluid Collection,17/308 (5.52%),18,7
P100047,HeartWare® VAS,Right Heart Failure,94/308 (30.52%),101,638
P100047,HeartWare® VAS,Other Intermacs,219/308 (71.10%),599,
P100047,HeartWare® VAS,Hepatic Dysfunction,10/308 (3.25%),10,58
P100047,HeartWare® VAS,Major Infection,150/308 (48.70%),259,395
P100047,HeartWare® VAS,Neurological Dysfunction,57/308 (18.51%),83,97
P100047,HeartWare® VAS,Device Malfunction/Failure,60/308 (19.48%),81,
P100047,HeartWare® VAS,Psychiatric Episode,34/308 (11.04%),35,7
P100047,HeartWare® VAS,Renal Dysfunction,32/308 (10.39%),35,120
P100047,HeartWare® VAS,Respiratory Failure,61/308 (19.81%),74,90
P100047,HeartWare® VAS,Wound Dehiscence,1/308 (0.32%),1,18
P100047,HeartWare® VAS,Arterial Non-CNS Thromboembolism,3/308 (0.97%),3,
P100047,HeartWare® VAS,Venous Thromboembolism,11/308 (3.57%),11,1200
P060040,HeartMate II ,Bleeding (All serious events) ,102/133 (76.69%) ,278,358
P060040,HeartMate II ,Bleeding requiring surgery ,40/133 (30.08%) ,50,177
P060040,HeartMate II ,Cardiac Arrhythmia ,62/133 (46.62%) ,110,342
P060040,HeartMate II ,Confirmed Malfunctions ,30/133 (22.56%) ,39,39
P060040,HeartMate II ,Device Thrombosis ,5/133 (3.76%) ,5,191
P060040,HeartMate II ,Drive Line Infection ,39/133 (29.32%) ,75,1133
P060040,HeartMate II ,Hemolysis ,5/133 (3.76%) ,5,104
P060040,HeartMate II ,Hepatic Dysfunction ,3/133 (2.26%) ,3,32
P060040,HeartMate II ,Local Infection ,40/133 (30.08%) ,60,111
P060040,HeartMate II ,Myocardial Infarction ,0/133 (0.00%) ,0,117
P060040,HeartMate II ,Other neurological ,27/133 (20.30%) ,32,22
P060040,HeartMate II ,Peripheral Thromboembolism ,14/133 (10.53%) ,21,344
P060040,HeartMate II ,Pocket Infection ,12/133 (9.02%) ,19,59
P060040,HeartMate II ,Psychological ,4/133 (3.01%) ,4,4
P060040,HeartMate II ,Pump Housing ,1/133 (0.75%) ,1,
P060040,HeartMate II ,Renal Failure ,21/133 (15.79%) ,21,175
P060040,HeartMate II ,Respiratory Failure ,47/133 (35.34%) ,61,50
P060040,HeartMate II ,Right Heart Failure (Inotropes) ,27/133 (20.30%) ,29,1068
P060040,HeartMate II ,Right Heart Failure (RVAD) ,5/133 (3.76%) ,5,
P060040,HeartMate II ,Sepsis ,48/133 (36.09%) ,80,70
